,tweet,label
67,"""@user: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0
68,"""@user: @user @user bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",0
69,"""@user: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",0
70,"""@user: Why the eggplant emoji doe?""y he say she looked like scream lmao",0
71,"""@user: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",0
72,"""@user: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",0
73,"""@user: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",0
74,"""@user: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@user",0
75,"""@user: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",0
76,"""@user: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",0
77,"""@user: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",0
78,"""@user: @user http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",0
79,"""@user: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",0
80,"""@user: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",0
81,"""@user: &#128175;&#128175;&#128175; RT @user Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",0
82,"""@user: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",0
83,"""@user: Wow. RT @user I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",0
84,"""@user: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",0
85,"""@user: @user @user queer"" gaywad",1
87,"""@user: @user faggot read my tweets after dat k"" it wasn't even funny lol",0
88,"""@user: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",0
89,"""@user: I been kidnapped yo bitch""",0
90,"""@user: @user alsarabsss"" hes a beaner smh you can tell hes a mexican",1
91,"""@user: @user happy birthday nigs"" Thanks yo",0
92,"""@user: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",0
93,"""@user: ""@user: @user that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",0
94,"""@user: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",0
95,"""@user: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",0
96,"""@user: Going back to school sucks more dick than the hoes who attend it.""",0
97,"""@user: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",0
98,"""@user: @user how come you never bring me food"" i dont have a car retard",0
99,"""@user: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",0
100,"""@user: How bout them Cowboys!!!!"" Shutup pussy",0
101,"""@user: LMAOOOOOOOOOOO this nigga @user http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",0
102,"""@user: @user girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",0
103,"""@user: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",0
104,"""@user: Harlem shake is just an excuse to go full retard for 30 seconds.""",0
105,"""@user: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",0
106,"""@user: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",0
107,"""@user: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",0
108,"""@user: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",0
109,"""@user: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",0
110,"""@user: @user im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",0
111,"""@user: @user you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",1
112,"""@user: The fuck be wrong with these bitches?"" Nobody knows",0
113,"""@user: Yall shut up:p"" make me bitch",0
114,"""@user: I hate a ""I'm pregnant"" type of bitch.""",0
115,"""@user: Got bitches in the DM but I don't ever read'em"" which is y your top 3",0
116,"""@user: Baseball season for the win. #Yankees"" This is where the love started",0
117,"""@user: Little stupid as bitch I don't fuck with yoooooouuuu..""",0
118,"""@user: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",0
119,"""@user: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0
120,"""@user: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",0
121,"""@user: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",0
122,"""@user: @user Aw."" ...fag, don't tweet ""aw"" to me lol",0
123,"""@user: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @user hahaha",0
124,"""@user: @user I didn't say anything tho"" kiss me then faggot",0
125,"""@user: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",0
126,"""@user: I could go for a fat ass bitch on my lap"" same",0
127,"""@user: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",0
128,"""@user: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",0
129,"""@user: &#8220;@user: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",0
130,"""@user: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",0
131,"""@user: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",0
132,"""@user: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",0
133,"""@user: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",0
134,"""@user: If she kiss u with her eyes open watch that bitch!""lmfao",0
135,"""@user: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",0
136,"""@user: Happy Bday Bitch Ass Nigga @user""preciate that bitch roll up!",0
137,"""@user: @user @user used to send that bitch up""",0
138,"""@user: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",0
139,"""@user: @user nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",0
141,"""@user: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",0
142,"""@user: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",0
143,"""@user: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",0
144,"""@user: Being single isn't an excuse to be a hoe."" @user",0
145,"""@user: White boy power bitch"" black power bitch",0
146,"""@user: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",0
147,"""@user: @user bitch where u been"" Around the world and back. Where you been?",0
148,"""@user: @user if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @user *",0
149,"""@user: #oomf is soooo cute. But he probably has hoes on him a lot.""",0
150,"""@user: In every cartoon theirs alway a @user saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",0
151,"""@user: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",0
152,"""@user: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",0
153,"""@user: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",0
154,"""@user: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @user get on it Katie&lt;3",0
155,"""@user: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",0
156,"""@user: @user ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",0
157,"""@user: @user Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",0
158,"""@user: You're not a man if you refer to every girl as a bitch""",0
159,"""@user: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",0
160,"""@user: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",0
161,"""@user: @user io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",0
162,"""@user: @user naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",0
163,"""@user: Ol dirty foot ass bitches.."" this was too funny to me.",0
164,"""@user: @user that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",0
165,"""@user: Don't got time for bitches to be actin iffy.""",0
166,"""@user #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",0
167,"""@user: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",0
168,"""@user: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",0
169,"""@user: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",0
170,"""@user: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",0
171,"""@user: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",0
172,"""@user: You love these hoes more then money wats wrong these niggas""",0
173,"""@user: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",0
174,"""@user: Easy cum, easy hoe"" That's a fact !",0
175,"""@user: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",0
176,"""@user: Wish I had a bae &#128533;""

You got all the hoes tho",0
177,"""@user: Fuck twerking bitch can you cook ?""",0
178,"""@user: @user bitch wtf"" http://t.co/DaSmycxODB",0
179,"""@user: &#8220;@user: ""@user: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",0
180,"""@user: Lmao fucking snake bitches"" @ em",0
181,"""@user: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",0
182,"""@user: Stay tuned to @user for an update on the report that @user 1B @user will be out 8-10 weeks"" @user #bum",0
183,"""@user: &#8220;@user: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@user",0
184,"""@user: Oregon chokes every year get off the field trash ass program"" RFT",0
185,"""@user: Def not cowboy lol RT @user: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",0
186,"""@user: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",1
187,"""@user: @user @user How could u do this to me bitch"" potent",0
188,"""@user: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",0
189,"""@user: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",0
190,"""@user: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",0
191,"""@user: @user nah fam I gotta cheat with the hoes"" depends on the female i feel",0
192,"""@user: @user &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",0
193,"""@user: This new twitter is confusing the shit out of me."" Go back to south america bitch",0
194,"""@user: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",0
195,"""@user: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",0
196,"""@user: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",0
197,"""@user: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",0
198,"""@user: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",0
199,"""@user: ""Stay beautiful you bitch""""",0
200,"""@user: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",0
201,"""@user: Money getting taller and bitches getting blurry""",0
202,"""@user: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",0
203,"""@user: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @user I meant to do this one. Smh.",0
204,"""@user: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",1
205,"""@user: People always asking me what I'm mixed with."" She a bad asian bitch lol",0
206,"""@user: @user Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",1
207,"""@user: &#8220;@user: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",0
208,"""@user: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",0
209,"""@user: &#8220;@user: Stop bringing weird niggers into my mentions! @user&#8221; http://t.co/cussDJesRK""",0
210,"""@user: We don't love these hoes &#128080;&#128581;""",0
211,"""@user: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",0
212,"""@user: @user I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",0
213,"""@user: Quote this tweet with your favorite animal.""pussy",0
214,"""@user: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",0
215,"""@user: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh",0
216,"""@user: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;""""",0
217,"""@user: &#8220;@user: &#8220;@user: @user Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",0
218,"""@user: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",0
219,"""@user: These bitches don't care they just play that role.""",0
220,"""@user: It took a while for you to find me, but I was hiding In the lime tree.""
@user dis bitch in da wrong tree bro.",0
221,"""@user: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",1
222,"""@user: @user inna di ghetto!!!"" You alone lmaoo",0
223,"""@user: &#8220;@user: @user @user hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know",0
224,"""@user: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",0
225,"""@user: Fat hoes get chose"" lol",0
226,"""@user: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",0
227,"""@user: @user @user ol bitch ass"" http://t.co/AmcOinY0wG",0
228,"""@user: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",0
229,"""@user: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",0
230,"""@user : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",0
231,"""@user: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",0
232,"""@user: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't",0
233,"""@user: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",0
234,"""@user: These catfish hoes thinkin they slick.. But niggas catching on &#128524;""",0
235,"""@user: Can't worry about a bitch that ain't worried bout me"" #real",0
236,"""@user: Side hoes are for insecure niggas that can't handle a real one.""",0
237,"""@user: &#128514;&#128514;&#128514;&#128514;RT @user: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;",0
238,"""@user: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""",0
239,"""@user: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",0
240,"""@user: Dese hoes be LYIN to all of us nigga""",0
241,"""@user: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",0
242,"""@user: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",0
243,"""@user: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch",0
244,"""@user: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",0
245,"""@user: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad",0
246,"""@user: I ain't sharing no bitch if you mines you mines &#128175;""",0
247,"""@user: money only impress the simple broke bitches""",0
248,"""@user: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht",0
250,"""@user: @user @user tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",0
251,"""@user: @user @user I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",0
252,"""@user: These hoes is crazy""",0
253,"""@user: You ain't ever gonna be a slice bitch."" Kevin hart. (:",0
254,"""@user: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch.",0
255,"""@user: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",0
256,"""@user: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@user",0
257,"""@user: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",0
258,"""@user: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",0
259,"""@user: @user @user y'all come through the front.""bitch I ain't coming",0
260,"""@user: @user faggot bitch"" http://t.co/2HyyAbk4eH",0
261,"""@user: @user yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @user""i work 2-5",0
262,"""@user: http://t.co/BYj1HOyhmG"" this scally lad would get it",0
263,"""@user: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",1
264,"""@user: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI",0
265,"""@user: &#8220;@user: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever.",0
266,"""@user: &#8220;@user: ""@user: &#8220;@user: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;",0
267,"""@user: &#8220;@user: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;",0
268,"""@user: BOBBY BITCH-by @user be getting me live as fuck"" hell yea i play that hoe before my workout",0
269,"""@user: Yo bitch is Gucci Mane RT @user : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",0
270,"""@user: I can ride your bitch with no handle bars""",0
271,"""@user: And if you ain't a hoe get up out my traphoussseeeee""",0
272,"""@user: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man",0
273,"""@user: These harbor bitches are all ""Party Bus hoes"""" Lol all?",0
274,"""@user: @user pussy"" love it",0
275,"""@user: Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"" 

bitchy promo",0
276,"""@user: On my way to fuck your bitch https://t.co/4lMTFNL2iy""

LMFAO KITTYCOPTER",0
277,"""@user: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""",0
278,"""@user: ""@user: Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?",0
279,"""@user: ""@user: Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?",0
280,"""@user: whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho",0
281,"""@user: @user bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!",0
283,"""@user: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco",0
284,"""@user: I'm making marack my girlfriend ."" @user aye b you pullin hoes just like o taught you",0
285,"""@user: Bruno fag boy"" you love me.",0
286,"""@user: &#8220;@user: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;",0
287,"""@user: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",0
288,"""@user: &#8220;@user: Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan",0
289,"""@user: Happy birthday bitch nigga @user"" Thanks pal",0
290,"""@user: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",0
291,"""@user: @user cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",0
292,"""@user: @user ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;",0
293,"""@user: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",0
294,"""@user My pussy still fresh"" &lt;----- something stank girls say.",0
295,"""@user: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week",0
296,"""@user: @user @user yeah Texans are so much better you fucking retard"" I see that you're mad about this.",0
297,"""@user: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here",0
298,"""@user: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;",0
299,"""@user: I hate when boys deny that they have bitches &#128080;&#128553;"" smh",0
300,"""@user: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!",0
301,"""@user: Im a boss ass bitch"" ...that needs to sit in a corner",0
302,"""@user: He's a hoe , I can't""",0
304,"""@user: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets",0
305,"""@user: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""",0
306,"""@user: why do my friends hate me"" because you a ratchet hoe..",0
307,"""@user: No love for these fuck niggas"" hoes*",0
308,"""@user: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers.",0
309,"""@user: Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah.",0
310,"""@user: These bitches love Sosa""",0
311,"""@user: &#8220;@user: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh",0
312,"""@user: What should I name my cat, ideas?"" Mr pussy",0
313,"""@user: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally.",0
314,"""@user: @user u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me",0
315,"""@user: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe",0
