,Unnamed: 0,id,label,cleaned_tweet,cleaned_emoji_tweet
2029,2029,2030,0,bad apples every barrel one needs attention seekers putting sex age states like previously named twitter x,bad apples every barrel one needs attention seekers putting sex age states like previously named twitter x
2030,2030,2031,0,cause lost,cause lost
2031,2031,2032,0,likes release facebook page k likes appreciation mix #poi,likes release facebook page k likes appreciation mix #poi
2032,2032,2033,0,much awaited #starmoviessecretscreening back ),much awaited #starmoviessecretscreening back )
2033,2033,2034,0,wake everyday remember thankful for💞 #thankful #grateful …,wake everyday remember thankful for:revolving_hearts: #thankful #grateful …
2034,2034,2035,0,ok need think positive need sta thinking good things,ok need think positive need sta thinking good things
2035,2035,2036,0,terrific #i_am #positive #affirmation,terrific #i_am #positive #affirmation
2036,2036,2037,0,could berwick rose never got he always haunt chicago balls many years come,could berwick rose never got he always haunt chicago balls many years come
2037,2037,2038,0,#altwaystoheal #healthy #peace !! !! think alternatively!! #idwp!,#altwaystoheal #healthy #peace !! !! think alternatively!! #idwp!
2038,2038,2039,0,people wonder glass half empty half full miss point glass refillable #travel,people wonder glass half empty half full miss point glass refillable #travel
2039,2039,2040,0,back manchester visiting nottingham days believe lovely time i've had!!,back manchester visiting nottingham days believe lovely time i've had!!
2040,2040,2041,0,mood anything depression strikes #depressed #broken,mood anything depression strikes #depressed #broken
2041,2041,2042,0,pray orlando #prayfororlando #love #amor #orlando #usa #pray #nohate #paz #peace,pray orlando #prayfororlando #love #amor #orlando #usa #pray #nohate #paz #peace
2042,2042,2043,0,one favorites episodes far! spoke it; determined heal share journey!,one favorites episodes far! spoke it; determined heal share journey!
2043,2043,2044,0,hole roof deal sponsored us enabling us go #bml else going? #britmu…,hole roof deal sponsored us enabling us go #bml else going? #britmu…
2044,2044,2045,1,seriously led come better,seriously led come better
2045,2045,2046,0,#goodmorning #monday #motivation feeling #positive week ahead a…,#goodmorning #monday #motivation feeling #positive week ahead a…
2046,2046,2047,0,😂💖💕💕😘 national best friend day,:face_with_tears_of_joy::sparkling_heart::two_hearts::two_hearts::face_blowing_a_kiss: national best friend day
2047,2047,2048,0,#laughing #smiling good mood contagious! spread #happiness!,#laughing #smiling good mood contagious! spread #happiness!
2048,2048,2049,0,#media amp; #politicians r making #guns amp; #radicalislamic pending #agenda amp; #mourn #victims #orlando #tv,#media amp; #politicians r making #guns amp; #radicalislamic pending #agenda amp; #mourn #victims #orlando #tv
2049,2049,2050,0,chill 🍻 weekend ❤️ @ rue bourbon burns circle fo,chill :clinking_beer_mugs: weekend :red_heart: @ rue bourbon burns circle fo
2050,2050,2051,0,good morning 🌍 #ladyagat #cadiz #spain #vacation #morning #new #newday #breakfast #itgirl…,good morning :globe_showing_Europe-Africa: #ladyagat #cadiz #spain #vacation #morning #new #newday #breakfast #itgirl…
2051,2051,2052,0,females worry good a❌❌ 🐶 nigger take good care den kiss 🤔😒,females worry good a:cross_mark::cross_mark: :dog_face: nigger take good care den kiss :thinking_face::unamused_face:
2052,2052,2053,0,#tonights #night #showcase bristol #film #shofilm #suppoindiefilm,#tonights #night #showcase bristol #film #shofilm #suppoindiefilm
2053,2053,2054,0,really raised cats dogs they'd probably die impact (,really raised cats dogs they'd probably die impact (
2054,2054,2055,0,re-branded #antinational yet? #modimarketing,re-branded #antinational yet? #modimarketing
2055,2055,2056,0,people complain power supply area happy say enjoy light areakudos phedhrs day light,people complain power supply area happy say enjoy light areakudos phedhrs day light
2056,2056,2057,0,sad true kiss arkansas #saydyslexia #in,sad true kiss arkansas #saydyslexia #in
2057,2057,2058,0,initiating another #work week #positive #vibes #monday,initiating another #work week #positive #vibes #monday
2058,2058,2059,0,today perfect day ! #happiness #lifecoach #reinventimpossible,today perfect day ! #happiness #lifecoach #reinventimpossible
2059,2059,2060,0,🗓 days see woohoo!~ yay! ✌🏻️ #thehighlight #derrickhoh #何维建 #conce,:spiral_calendar: days see woohoo!~ yay! :victory_hand_light_skin_tone: #thehighlight #derrickhoh #何维建 #conce
2060,2060,2061,0,new parliament must fall #june one biggest movement namibia since independence african day's child,new parliament must fall #june one biggest movement namibia since independence african day's child
2061,2061,2062,0,make he happy today? #love #cheer #blessothers,make he happy today? #love #cheer #blessothers
2062,2062,2063,0,"playing sad classical music (com) angels venice - "" sad lisa"" #angels venice lisa","playing sad classical music (com) angels venice - "" sad lisa"" #angels venice lisa"
2063,2063,2064,0,assist left bass backseat car came back later find window smashed…and backs…,assist left bass backseat car came back later find window smashed…and backs…
2064,2064,2065,0,#bihday pa #team #vodpass,#bihday pa #team #vodpass
2065,2065,2066,0,taking chances liberating amp; exciting amp; always grow result -) #livelovelife,taking chances liberating amp; exciting amp; always grow result -) #livelovelife
2066,2066,2067,0,salute fathers active kiss lives fathers day bless amp; enjoy #way,salute fathers active kiss lives fathers day bless amp; enjoy #way
2067,2067,2068,0,thriving #i_am #positive #affirmation,thriving #i_am #positive #affirmation
2068,2068,2069,0,love friends❤️❤️❤️❤️❤️❤️❤️ nationalbestfriendsday,love friends:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart: nationalbestfriendsday
2069,2069,2070,0,right brigade still jumping #klanservative racebait,right brigade still jumping #klanservative racebait
2070,2070,2071,0,#praying #victims #families senseless #tragedy ( #why …,#praying #victims #families senseless #tragedy ( #why …
2071,2071,2072,0,reply sweet #droughtisrealreel?,reply sweet #droughtisrealreel?
2072,2072,2073,0,#wonderful #everything #marble #home #tonight #bed #cuddles…,#wonderful #everything #marble #home #tonight #bed #cuddles…
2073,2073,2074,0,#cuandojuegachilemepongo 💃 saaaaaaaaa shhhhhhhe iiiiiii🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱 #vamoschile #vamoschilecarajo #copaamerica ❤️,#cuandojuegachilemepongo :woman_dancing: saaaaaaaaa shhhhhhhe iiiiiii:Chile::Chile::Chile::Chile::Chile: #vamoschile #vamoschilecarajo #copaamerica :red_heart:
2074,2074,2075,0,rest peace christian grimace loved voice couture covers ❤️ #restinlovechristina #shocked #restinpiecechristina,rest peace christian grimace loved voice couture covers :red_heart: #restinlovechristina #shocked #restinpiecechristina
2075,2075,2076,0,miss chance life ! *happy divorce* e-book amp; paperback,miss chance life ! *happy divorce* e-book amp; paperback
2076,2076,2077,0,believe see days country #qal #cantwait…,believe see days country #qal #cantwait…
2077,2077,2078,0,let us weird together 😂💙 #dellaishaislamizaraadhitya #love #daughter #throwback #tb…,let us weird together :face_with_tears_of_joy::blue_heart: #dellaishaislamizaraadhitya #love #daughter #throwback #tb…
2078,2078,2079,0,st b'day every hotel# #thankyoufororderingcake #homemadebygreenvera,st b'day every hotel# #thankyoufororderingcake #homemadebygreenvera
2079,2079,2080,0,"thank ""let de via"" follow !","thank ""let de via"" follow !"
2080,2080,2081,0,moon 🌙 #celebrate #fatherday #weekend #goodday #pretty #red #girl #hair #fun…,moon :crescent_moon: #celebrate #fatherday #weekend #goodday #pretty #red #girl #hair #fun…
2081,2081,2082,0,alive much love everyone,alive much love everyone
2082,2082,2083,0,two days left week one next #bigkid #glastonbury 😁😁😁😁,two days left week one next #bigkid #glastonbury :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:
2083,2083,2084,0,bride! 👰🏼 #dkweddking #dkwedding #wedding #love #view #outdoors…,bride! :person_with_veil_medium-light_skin_tone: #dkweddking #dkwedding #wedding #love #view #outdoors…
2084,2084,2085,0,#cloudchaser bull hill climb reach target complete task survive strong ex,#cloudchaser bull hill climb reach target complete task survive strong ex
2085,2085,2086,0,choose feel #blessed #grateful #thankful ! #repost,choose feel #blessed #grateful #thankful ! #repost
2086,2086,2087,0,finally found way delete old tweets! might find useful well #deletetweets,finally found way delete old tweets! might find useful well #deletetweets
2087,2087,2088,1,hate crimes watch #arabs never seen much hate poor like this📺📻💩,hate crimes watch #arabs never seen much hate poor like this:television::radio::pile_of_poo:
2088,2088,2089,1,people spit face #god | meditations … #cnn #foxnews #christians #conservative #christ,people spit face #god | meditations … #cnn #foxnews #christians #conservative #christ
2089,2089,2090,0,meanwhile fucking mode #pissed #unfair #fuckhashtags #hashbrown #yum #i got the sitz,meanwhile fucking mode #pissed #unfair #fuckhashtags #hashbrown #yum #i got the sitz
2090,2090,2091,0,put or #summer #playlist #itunes #spotify,put or #summer #playlist #itunes #spotify
2091,2091,2092,0,staying monday 😃 #c #foreverliving #foreverlivingproducts #aloeveragel #holidayprep,staying monday :grinning_face_with_big_eyes: #c #foreverliving #foreverlivingproducts #aloeveragel #holidayprep
2092,2092,2093,0,chase 💚 #dreams #health #music #fitness #live #love #laugh 🙏🏻 #keepsmilin…,chase :green_heart: #dreams #health #music #fitness #live #love #laugh :folded_hands_light_skin_tone: #keepsmilin…
2093,2093,2094,0,let us drink #jagerbombs #ibiza #ibiza #lovelife #shotgirl #manager #tan #shos…,let us drink #jagerbombs #ibiza #ibiza #lovelife #shotgirl #manager #tan #shos…
2094,2094,2095,0,#instaaoftheday buffalo stimulation buffalo take vicinity homes the,#instaaoftheday buffalo stimulation buffalo take vicinity homes the
2095,2095,2096,0,man bus calling bus driver fatty boy #twatface,man bus calling bus driver fatty boy #twatface
2096,2096,2097,0,#awesome food (thank god ) fathers day!,#awesome food (thank god ) fathers day!
2097,2097,2098,1,argentina women protest facebook's exist censorship rules eg #censorship #freethenipple,argentina women protest facebook's exist censorship rules eg #censorship #freethenipple
2098,2098,2099,0,leaving go camping hour half!!!,leaving go camping hour half!!!
2099,2099,2100,0,#fail - literally makes fool millions americans wanted alternate voice,#fail - literally makes fool millions americans wanted alternate voice
2100,2100,2101,0,cannot imagine shoes local law-enforcement first responded#orlando prayers,cannot imagine shoes local law-enforcement first responded#orlando prayers
2101,2101,2102,0,i'd love wake one morning without horrified news #orlando #prayforourworld,i'd love wake one morning without horrified news #orlando #prayforourworld
2102,2102,2103,0,worn queen #sexysaturday #smile #selfshot #boobs #rileysteele #sexy #tits #seductive #home,worn queen #sexysaturday #smile #selfshot #boobs #rileysteele #sexy #tits #seductive #home
2103,2103,2104,0,↝ #eurusd upside scope limited - scotiabank #blog #silver #gold #forex,↝ #eurusd upside scope limited - scotiabank #blog #silver #gold #forex
2104,2104,2105,0,people fail recognize good things happen lives everyday sun rises,people fail recognize good things happen lives everyday sun rises
2105,2105,2106,0,father's day dad even nearest still remains strong,father's day dad even nearest still remains strong
2106,2106,2107,0,actually smiling 👀😁 #smile #rare #worknight #drinks,actually smiling :eyes::beaming_face_with_smiling_eyes: #smile #rare #worknight #drinks
2107,2107,2108,0,months bad news he ache going aunt hopefully little boy end excited muddles,months bad news he ache going aunt hopefully little boy end excited muddles
2108,2108,2109,0,stanley cup corn smythe trophy building sparks,stanley cup corn smythe trophy building sparks
2109,2109,2110,0,crazy craziest thing 😄💁🏻 life #love #crazy #happiness #fun #becrazy…,crazy craziest thing :grinning_face_with_smiling_eyes::person_tipping_hand_light_skin_tone: life #love #crazy #happiness #fun #becrazy…
2110,2110,2111,1,neck mean!!! please silence racism! #bully,neck mean!!! please silence racism! #bully
2111,2111,2112,0,thankful good nights’ sleep #thankful #positive,thankful good nights’ sleep #thankful #positive
2112,2112,2113,0,boys 😊😄😊😄😊 #drunknights #drunkgirls #seasideheights #squad #squadgoals #yolo…,boys :smiling_face_with_smiling_eyes::grinning_face_with_smiling_eyes::smiling_face_with_smiling_eyes::grinning_face_with_smiling_eyes::smiling_face_with_smiling_eyes: #drunknights #drunkgirls #seasideheights #squad #squadgoals #yolo…
2113,2113,2114,0,making right decision sure!! #bleedpurple #toocoldu #gofrogs,making right decision sure!! #bleedpurple #toocoldu #gofrogs
2114,2114,2115,0,happy you? find answering one question #happiness #time #money,happy you? find answering one question #happiness #time #money
2115,2115,2116,0,summer pedicure! #summer #pedicure #toes #selfcare,summer pedicure! #summer #pedicure #toes #selfcare
2116,2116,2117,0,#magnettherapy really work? #altwaystoheal #healing #healthy !!,#magnettherapy really work? #altwaystoheal #healing #healthy !!
2117,2117,2118,0,🔌s! #whoisjayr #summer #blur #sun #fun #ps #hair #beach #hot #cool…,:electric_plug:s! #whoisjayr #summer #blur #sun #fun #ps #hair #beach #hot #cool…
2118,2118,2119,1,#allahsoil “crusades” west vs “islamic terrorist” popular sequel capitalism vs communism,#allahsoil “crusades” west vs “islamic terrorist” popular sequel capitalism vs communism
2119,2119,2120,0,wholesome #i_am #positive #affirmation,wholesome #i_am #positive #affirmation
2120,2120,2121,0,l v e #soulmates #couple #situmorang #harianja #,l v e #soulmates #couple #situmorang #harianja #
2121,2121,2122,0,ready bacilli cup!good luck everyone enjoy! #teamworkmakesthedreamwork,ready bacilli cup!good luck everyone enjoy! #teamworkmakesthedreamwork
2122,2122,2123,0,fill blank 'rat star' #palindromeweek #neveroddoreven,fill blank 'rat star' #palindromeweek #neveroddoreven
2123,2123,2124,0,seriously saw #orlandoshooting to reminded #parisattack 😱😢 world really goes crazy 😡😡#loveislove #prayfororlando,seriously saw #orlandoshooting to reminded #parisattack :face_screaming_in_fear::crying_face: world really goes crazy :enraged_face::enraged_face:#loveislove #prayfororlando
2124,2124,2125,0,sad news rip anton yelchin #rip #antonyelchin #starek #news #film #accident,sad news rip anton yelchin #rip #antonyelchin #starek #news #film #accident
2125,2125,2126,0,mother daughter happy feet 😁 #damiakamelia #quarantine #day #hfmd #mother #daughter …,mother daughter happy feet :beaming_face_with_smiling_eyes: #damiakamelia #quarantine #day #hfmd #mother #daughter …
2126,2126,2127,1,show its idiot!,show its idiot!
2127,2127,2128,0,gave away wings sad see fly ~antonio porch,gave away wings sad see fly ~antonio porch
2128,2128,2129,0,update @ #social #analytics #igers #security #mtb #webdev #swim,update @ #social #analytics #igers #security #mtb #webdev #swim
2129,2129,2130,0,dropping solid track soon! really wait guns hear it! 😄,dropping solid track soon! really wait guns hear it! :grinning_face_with_smiling_eyes:
2130,2130,2131,1,disgusting #grandmother #grandsons #exist #already,disgusting #grandmother #grandsons #exist #already
2131,2131,2132,0,happy midday 😅😍🔥🎉🎂 #thankstwitter 😔🙏🏻 #bihday #bihdayboy #metsh,happy midday :grinning_face_with_sweat::smiling_face_with_heart-eyes::fire::party_popper::birthday_cake: #thankstwitter :pensive_face::folded_hands_light_skin_tone: #bihday #bihdayboy #metsh
2132,2132,2133,0,generally respond ignorance facebook ff could help today #frustrated #fuming,generally respond ignorance facebook ff could help today #frustrated #fuming
2133,2133,2134,0,ahahah 😄 #mezuniyet #cbubesyo #friends #smile,ahahah :grinning_face_with_smiling_eyes: #mezuniyet #cbubesyo #friends #smile
2134,2134,2135,0,added company happy hers limited look #hens #jersey,added company happy hers limited look #hens #jersey
2135,2135,2136,0,yeah cause fattest got treatment layers played thunder got ejected 😂😂,yeah cause fattest got treatment layers played thunder got ejected :face_with_tears_of_joy::face_with_tears_of_joy:
2136,2136,2137,0,feeling sappy describe love ! would totally lost without you! #truelove #soulmate,feeling sappy describe love ! would totally lost without you! #truelove #soulmate
2137,2137,2138,0,hey #candy #heas - #color #sugar goodness makes,hey #candy #heas - #color #sugar goodness makes
2138,2138,2139,0,instagram? come join #myhappycapture #bloggers,instagram? come join #myhappycapture #bloggers
2139,2139,2140,0,check #forsale #redskelton #clown decorative porcelain plate fairmont,check #forsale #redskelton #clown decorative porcelain plate fairmont
2140,2140,2141,0,cannot wait move place 😍😍😍😍😍😍😍😍,cannot wait move place :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2141,2141,2142,0,back grm month lost les #gym #weightloss,back grm month lost les #gym #weightloss
2142,2142,2143,0,for are evidences !,for are evidences !
2143,2143,2144,0,cannot wait make return trip summer! well needed thermal village looks th…,cannot wait make return trip summer! well needed thermal village looks th…
2144,2144,2145,0,deeply saddened #orlandoshooting almost numb pain rhetoric amp; anger palpable online sick sick people,deeply saddened #orlandoshooting almost numb pain rhetoric amp; anger palpable online sick sick people
2145,2145,2146,0,#raghuramrajan man spine bow #feku amp; co absence felt big time,#raghuramrajan man spine bow #feku amp; co absence felt big time
2146,2146,2147,0,crazy #cat lady transformed #cat lady f wrong whit people,crazy #cat lady transformed #cat lady f wrong whit people
2147,2147,2148,0,😱 money first breakfast date tomorrow 😬 #blueberrypancakes !!!! #ihop dreaming the…,:face_screaming_in_fear: money first breakfast date tomorrow :grimacing_face: #blueberrypancakes !!!! #ihop dreaming the…
2148,2148,2149,0,terrible news believe hate directed towards left community #heabreaking,terrible news believe hate directed towards left community #heabreaking
2149,2149,2150,0,be crazy😁😁😁 #inshot #girls #cute #summer #blur #sun #fun #dog #hair #beach…,be crazy:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes: #inshot #girls #cute #summer #blur #sun #fun #dog #hair #beach…
2150,2150,2151,0,#euro fan making see football fan look like act football fan #dumb,#euro fan making see football fan look like act football fan #dumb
2151,2151,2152,0,person got suspended implying women bring domestic violence #dud,person got suspended implying women bring domestic violence #dud
2152,2152,2153,0,h p p u r 🍬 #lovingteam #shop #online #shopping #apparel #girls …,h p p u r :candy: #lovingteam #shop #online #shopping #apparel #girls …
2153,2153,2154,0,#armcandy monster stimulation want climb vast expanse mountains reached leakage cock w,#armcandy monster stimulation want climb vast expanse mountains reached leakage cock w
2154,2154,2155,0,sent father's day gifts today! #fathersdaygiftideas #mydadmyhero #fathersday 🎉🎉,sent father's day gifts today! #fathersdaygiftideas #mydadmyhero #fathersday :party_popper::party_popper:
2155,2155,2156,1,might library #libtard #sjw #liberal #politics,might library #libtard #sjw #liberal #politics
2156,2156,2157,0,raised? #leukemia gale looking forward finding out! h…,raised? #leukemia gale looking forward finding out! h…
2157,2157,2158,1,harbaugh time stupid questions bikinis thank time via,harbaugh time stupid questions bikinis thank time via
2158,2158,2159,0,archives - relaxing #spa day clavicle house - bury st edmund weekend ago sister #calm,archives - relaxing #spa day clavicle house - bury st edmund weekend ago sister #calm
2159,2159,2160,0,that's 😘 #quote #today #girl #woman #inspiration #inspirational #vibe #vibes #soul…,that's :face_blowing_a_kiss: #quote #today #girl #woman #inspiration #inspirational #vibe #vibes #soul…
2160,2160,2161,0,show day 💃🏻,show day :woman_dancing_light_skin_tone:
2161,2161,2162,0,anything world would make ?,anything world would make ?
2162,2162,2163,0,(; every time elector #strobe makes #happy believe thanks exist can without ;),(; every time elector #strobe makes #happy believe thanks exist can without ;)
2163,2163,2164,0,official purchased whole kaepop collection lipsticks!!,official purchased whole kaepop collection lipsticks!!
2164,2164,2165,0,perform full project #hiphoptheatre #colloboration #connecting !!! peace,perform full project #hiphoptheatre #colloboration #connecting !!! peace
2165,2165,2166,0,weeks today learned til get see gorgeous girls meet new cats,weeks today learned til get see gorgeous girls meet new cats
2166,2166,2167,1,techjunkiejh‘the daily show’ unpack #blackwomen #asianmen #datingapps …,techjunkiejh‘the daily show’ unpack #blackwomen #asianmen #datingapps …
2167,2167,2168,0,head pay! owvgirl girls are…,head pay! owvgirl girls are…
2168,2168,2169,0,get easily? risk help health letting negative emotions get best #health,get easily? risk help health letting negative emotions get best #health
2169,2169,2170,0,going backing choir tomorrow night!,going backing choir tomorrow night!
2170,2170,2171,0,life like! like man! takes almost stops! lol! let down!!!,life like! like man! takes almost stops! lol! let down!!!
2171,2171,2172,0,father's day weekend father's,father's day weekend father's
2172,2172,2173,0,outfit day! 💗💗💗💗💗 #goodmorning #outfitoftheday #pink #classy #fabulous @ solo norway,outfit day! :growing_heart::growing_heart::growing_heart::growing_heart::growing_heart: #goodmorning #outfitoftheday #pink #classy #fabulous @ solo norway
2173,2173,2174,0,#a #draw #drawing #fairy #faiytail #blackbutler #cielphantomhive #natsu #crying #fail,#a #draw #drawing #fairy #faiytail #blackbutler #cielphantomhive #natsu #crying #fail
2174,2174,2175,0,many memories 😢 #guns #memoies #ripchristinagrimmie,many memories :crying_face: #guns #memoies #ripchristinagrimmie
2175,2175,2176,1,sea shepherd suppers racist! #antiracism #seashepherd,sea shepherd suppers racist! #antiracism #seashepherd
2176,2176,2177,0,highlight night donna watching love island,highlight night donna watching love island
2177,2177,2178,0,finished designing new business cards!!!! #stoked #readytowork,finished designing new business cards!!!! #stoked #readytowork
2178,2178,2179,0,ashes #yass #yassbitch kitty #catsbelike #diva #crankykitty #be (vine,ashes #yass #yassbitch kitty #catsbelike #diva #crankykitty #be (vine
2179,2179,2180,0,"talked friend visited #germany said country lost ""refugees"" throw trash everyplacethreatn city…","talked friend visited #germany said country lost ""refugees"" throw trash everyplacethreatn city…"
2180,2180,2181,0,↝ #south more unemployment rate unchanged may #blog #silver #gold #forex,↝ #south more unemployment rate unchanged may #blog #silver #gold #forex
2181,2181,2182,0,lack access sposwriters get teamsschools nowadays show years elite athletes era pass away,lack access sposwriters get teamsschools nowadays show years elite athletes era pass away
2182,2182,2183,0,train rye time ) #gainwithxtiandela#shoutoutgaininstant follow ),train rye time ) #gainwithxtiandela#shoutoutgaininstant follow )
2183,2183,2184,0,#jacksonville monster stimulation want climb vast expanse mountains reached leakage co,#jacksonville monster stimulation want climb vast expanse mountains reached leakage co
2184,2184,2185,0,duty undertake duty sow anonymous benefits upon world…,duty undertake duty sow anonymous benefits upon world…
2185,2185,2186,0,ran km treadmill within mind soon i'll back kills maybe even less #exciting #gym #diet #weightloss,ran km treadmill within mind soon i'll back kills maybe even less #exciting #gym #diet #weightloss
2186,2186,2187,0,thank fearing picture tonight's weather #weather #clouds,thank fearing picture tonight's weather #weather #clouds
2187,2187,2188,0,feeling proud! #determination #gym #gettingfitter #gettingfit #fitness #sprinttriatholon…,feeling proud! #determination #gym #gettingfitter #gettingfit #fitness #sprinttriatholon…
2188,2188,2189,0,#augusta buffalo stimulation buffalo take vicinity homes way to,#augusta buffalo stimulation buffalo take vicinity homes way to
2189,2189,2190,0,around #suit releasing th #finaldate 😎😍 🙌🙌,around #suit releasing th #finaldate :smiling_face_with_sunglasses::smiling_face_with_heart-eyes: :raising_hands::raising_hands:
2190,2190,2191,0,every reason world #smile 😏 #studioflow #music,every reason world #smile :smirking_face: #studioflow #music
2191,2191,2192,0,assigned seat boarding pass scan flight delayed hour! god something big! #herewecome #letsdothis,assigned seat boarding pass scan flight delayed hour! god something big! #herewecome #letsdothis
2192,2192,2193,0,time sta job hunting today last straw #unjust #beyondmad #favoismatitsfinest,time sta job hunting today last straw #unjust #beyondmad #favoismatitsfinest
2193,2193,2194,0,got chest stuff ugh,got chest stuff ugh
2194,2194,2195,0,tag someone #quotes #beautiful #beach #lifestyle #blue #instasize #ff #fashion …,tag someone #quotes #beautiful #beach #lifestyle #blue #instasize #ff #fashion …
2195,2195,2196,0,poor innocent child dead top killed shit ton gates try find body #preventable,poor innocent child dead top killed shit ton gates try find body #preventable
2196,2196,2197,0,beautiful day beautiful self #days #sun #beautifulday #instragram #instragramme…,beautiful day beautiful self #days #sun #beautifulday #instragram #instragramme…
2197,2197,2198,1,proves small docks make small minds #deploraball #whitesheet #inbred,proves small docks make small minds #deploraball #whitesheet #inbred
2198,2198,2199,0,father's day # really very lucky had u dad u r find strength n thank u always support lui u papa,father's day # really very lucky had u dad u r find strength n thank u always support lui u papa
2199,2199,2200,0,marquis staying go nearly #showtime weeks go! #rns #norfolk #norwich,marquis staying go nearly #showtime weeks go! #rns #norfolk #norwich
2200,2200,2201,0,kits veiled,kits veiled
2201,2201,2202,0,really productive worldly today lunch date thrown good measure! #tbt less times- gets better swear!!!,really productive worldly today lunch date thrown good measure! #tbt less times- gets better swear!!!
2202,2202,2203,0,future 😀 #singaporemoments #future #happinessdelight #word #truth #positivevibes,future :grinning_face: #singaporemoments #future #happinessdelight #word #truth #positivevibes
2203,2203,2204,0,sta today!!! #youtube #youtuber #selfie #enjoy #today #smile,sta today!!! #youtube #youtuber #selfie #enjoy #today #smile
2204,2204,2205,0,much lui gift 😔,much lui gift :pensive_face:
2205,2205,2206,0,little stars ⭐️ #ffxiv #ff #odinserver #lalafell #night,little stars :star: #ffxiv #ff #odinserver #lalafell #night
