,ID,tweet,label,label_manual,creator
33,20217,Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!,1,1,swa
34,20221,Congratulations! Welcome immigrant!! We are a nation of immigrants despite all the noise today b,0,0,swa
35,20223,"Notwithstanding Marriyum Aurangzeb sahiba's political standing in her own right, amongst the many positives that Maryam Nawaz brought to the Pakistani political arena, bringing our female politicians to the centre-stage is one of the most notable ones. #PakistanStandsWithMaryam URL",0,0,swa
36,20248,"@user Again, you miss the point that god is not interested in military rule, phony frauds like Mohammed who benefit from it are #Islam",1,1,swa
37,20250,"Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!",1,1,swa
38,20257,You got deported for using the n word and saying shit about Nanjing. Stop lying.,0,0,swa
39,20266,I love that you enjoy being trans.,0,0,swa
40,20302,Before I read the comments I'm gonna say this. I already know there's gonna be some fucking cum stain who's gonna try to say Em didn't just murder this shit. And to you I say eat a penis.,1,1,swa
41,20305,"Alright bitch, now suck this cock URL",1,1,swa
42,20316,31 Black Women Who Died In Police Custody URL,0,0,swa
43,20374,Stupid Asian Bitch You're an idiot and you should go back to ching chong land,1,1,swa
44,20390,"the fact that niggas expect to be applauded for not being sexual predators is beyond me. this one nigga told me ""ima always ask for consent"" like, congrats. u regular. ur a fish & ur swimming.......",0,1,swa
45,20399,"STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE",1,1,swa
46,20401,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1,1,swa
47,20402,I've always been proud of the Igbo tribe and our culture. Yesterday made me even more proud. You people are too fine abeg. #OgbakoUmuIgboDay,0,0,swa
48,20430,today i start breaking in a new pair of docs have mercy on my soles,0,0,swa
49,20438,I hope the Hong Kongers kill every Chinese State Official. 1776 them.,0,1,swa
50,20445,Looks like a nigger with their typical retarded haircuts,0,1,swa
51,20452,"Wow, what a fucking disgusting cunt.",0,1,swa
52,20455,Why are they still there?? START THE DEPORTATION ALREADY,0,1,swa
53,20476,It's not our problem -- send the anti-american anti-white racist criminal Hispanic illegal-aliens back home or will remove all you secret society sleeper cells from our Government,1,1,swa
54,20495,"I dont like fags, but really hate em when they are so proud of themselves for comming out and being open about it. "" look at me, im gay. Acknowledge me please."" Fuckin queers!!",1,1,swa
55,20513,happy pride month i'm gay URL,0,0,swa
56,20520,There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,1,1,swa
57,20536,"@user I 100% agree with that and it's true. I only like to point out to people who are in disbelief that women have no power yet in this day and age and especially with this, they are the ones making the decisions. Only thing left is to have a Madam President.",0,0,swa
58,20549,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",1,1,swa
59,20553,Fucking fagot burn in hell,1,1,swa
60,20582,"Job? What the fuck are you talking about slut, you will have no job. You are an object, a thing. Things do not have jobs. They have functions. Your function is too suck and fuck and pleasure. To be used. You will make no contribution to any society. You will used untill you are useless, then discarded like a piece of rubbish. Untill then bend the fuck over and spread. I Intend to use you anus vigorously, then your cunt, then your mouth. You are a pretty thing with many functions, I'll use them all tonight.",0,1,swa
61,20583,"Ugly slut, desperate to have some master pull your hair and pinch your little titties till you squeal, then thank him and call yourself his slutty little whore girl until he fucks every hole in your otherwise worthless body",1,1,swa
62,20597,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",0,1,swa
63,20601,You can't treat people like crap and worship God at the same time.,0,0,swa
64,20611,"Apparently asexual people are diabled? Im so glad to know that by not contributing to overpopulation and not falling for the scam that society calls raising children I am disabled. Maybe I should call NY SSI and tell them ""Help I don't want to reproduce, where's my disability $""? URL",0,0,swa
65,20621,"That's true. I think, as a white American talking about the white American community, there's this expectation to have a healthy glow but no more or less. Too pale and you're a socially awkward shut in and too dark (regardless of how you got the tan) you're either trashy, unhealthy, or trying to look like another race. Obviously both of these are extreme and not everyone thinks this way but it does come up from time to time. Personally I think whatever you feel your best skin is (as long as you're achieving it in a healthy way) that's what you should strive for.",0,0,swa
66,20622,"India has lost one of the most loved mother,great leader and foreign minister who rescued thousands of Indians form different countries, as foreign minister. She was an inspirational woman, You will be missed always. Om Shanti ???? URL",0,0,swa
67,20635,India helped evacuate also Germans out of Yemen. Thank you India! @user @user @user,0,0,swa
68,20672,@user thank you for proving my bitch ass wrong tonight.,0,0,swa
69,20675,Can't beat a score of 12 on flappy bird #givingup,0,0,swa
70,20683,"I am straight, yet this is my very first time which I realize how much our brothers and sisters have been suffered for their valuable and unique character. GO! LGBT!",0,0,swa
71,20724,@user i'm not responsible for his hurt feelings when he's the one that decided to ignore me instead of having a conversation.,0,0,swa
72,20798,i really don't understand females..,0,0,swa
73,20817,Mmmm Apple pie and icecream ???? ...I want some. #mkr,0,0,swa
74,22066,"Great job Turkey, love from your Pakistani Brothers??",0,0,swa
75,22159,\*Democratically elected woman who are simply doing their jobs,0,0,swa
76,22184,"Still trans, still out there trying to live my best life.",0,0,swa
77,22202,No more wars for Israel!,0,0,swa
78,22646,"The more the fruits of knowledge become accessible to men, the more widespread is the decline of religious belief.– #ADNLovesInspiteOf ??",0,0,swa
79,22744,I suspect that's part of reason why some Asian American boys have trouble fit in (other than obvious racism). They are groomed by parents with cultural values that would've been better suited in old country but doesn't play well in US.,0,0,swa
80,22767,@user See: the first 200-some years of presidential press conferences,0,0,swa
81,22778,"LRT: I cannot stop laughing. Damn it, Taylor.",0,0,swa
82,22870,"@user on a side note - holy shit, i didn't know you had that many followers.",0,0,swa
83,22920,@user sorry. didn't realize i wasn't allowed to joke about the weather. o_O,0,0,swa
84,22928,I think I'm just going to play video games all day. ^.^  It's been a super stressful week. I need a break.,0,0,swa
85,23016,@user I wish he would drop dead smh these psychos are the ones making this world harder to deal with,1,1,swa
86,23060,"Mentally retarded u ar .👍👍 U foreigners use only tissue paper to wipe off ur shits ass ,u even don't wash ur shits ass ,what a fuck??🖕🖕🖕🖕 But we indians use water to clean our shits ass properly and then wash our hands two times , understand ,u foreigner fuckers .",1,1,swa
87,23222,"im ,i hate black people and minorities",1,1,swa
88,23334,"@user @user Sarsour is a hypocrite since she promotes herself as a leader of the feminist movement yet is a proponent of the barbaric Muslim tradition of Female Genital Mutilation, which renders women unable to enjoy sex. URL",1,1,swa
89,23359,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1,1,swa
90,23368,"Niggers and their liberal friends steal everything not tied down, just like the presidency here with acorn with its liberal defenders, FUCK YOU NIGGER OBOAMA!",1,1,swa
91,23457,"@user You don't know what I know. Name somebody colder, you monkey faced immigrant",1,1,swa
92,23522,Send them back to Africa!,1,1,swa
93,23750,"Another gay hispanic, so usual. Fuck off and die. You know ull get in due to AA, so suck my small chinese cock.",1,1,swa
94,24093,@user Kill the paki snake,1,1,swa
95,24197,Every gook in #LosAngeles should be deported or killed.,1,1,swa
96,24258,"Its a woman doing or in charge of the documentary. Dont watch it guys, all women are evil and AWALT. I bet she wouldnt care if men in her family, husband if she has one, father, uncles, grandfather or son killed themselves. Shes a woman in the end so that means she is subhuman and the same as every other slut in 20s and 30s now. Btw your moms and grandmoms who give you advice not to marry in these times are hoes and AWALTs too. /s btw I consider myself mgtow 110% but not everything in life is black and white. There are exceptions to the rule.",1,1,swa
97,24273,"Of course with the mandatory ""allahu akbar"" known from the region",0,1,swa
98,24349,"@user when those iranian missiles hit us cities, we'll find out about human rights, you illiterate son of a fcking jewish tranny, lol",1,1,swa
99,24403,"Where are the pictures of the illegal bolshiveks, Israelis, and other war profiteering immigrants. Oh, theyre building new houses in Socal freshly burned for them by their luciferian zionist ""elders."" Seek the creator, cherish sacred women, and, dipshit swarzenegger nerds, get off the barbitols.",1,1,swa
