tweet;label;label_manual;creator
JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?;1;1;Imran
The Partner: *notices we're out of milk* The Partner: *quietly* oh no Us, cackling in the distance: That's right sluts! Moo! MOO HARDER!;1;0;Imran
What state got the best pussy? &#128064;1;0;Imran
I hate minorities too;1;1;Imran
Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.;1;1;Imran
yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them;1;1;Imran
This is sick and disgusting , if the exhibit was abunch of male genitalia and there were naked men standing there in front of little girls the entire world would be in UPROAR , fuck your feminist bullshit URL;1;1;Imran
Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.;1;1;Imran
yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them;1;1;Imran
RT @user: ️Obama swindling future generations of Americans adding 9 trillion dollars to debt💰@user #WakeUpAmerica http://t.co…;1;1;Imran
yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them;1;1;Imran
These broke ass niggers give the best sex ever why don't they use the same skills to make money😭😭;1;1;Imran
do you have autism or something? why do you talk like a disgusting retard?;1;0;Imran
Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!;1;1;Imran
"""@user: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26";1;1;Imran
My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.;0;1;Imran
No your misogynistic bs of saying that the women on here who's partners have said that she's ugly are just lying because their wives are controlling. THAT makes you a troll.;1;0;Imran
i hate jews so much i wish the holocaust actually happened;1;1;Imran
Fuck this shi Yall Niggas is Str8 Bitches n that str8 Fucking Virgin At the end that held ball That was the game For my nigga @user To take the gold Home Shi is Sad Fuck Tha Virgin Fuck all the virgins That held n shi Watch next crew or pth Lets see How yall gettin inv 😂😂;1;1;Imran
"""oH i DoNt SuCk DiCk LiKe tHaT"" Bitch u could suck a soft ball through a straw gtfo";1;1;Imran
i hate jews so much i wish the holocaust actually happened;1;1;Imran
yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them;1;1;Imran
You can't forget how fat and stupid Americans are. There are millions. And half of them are commenting here. 😕;1;1;Imran
Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch;1;1;Imran
JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?;1;1;Imran
DO YOU SEE HOW QUICK THE PROSECUTED THAT BLACK COP IN MPLS. MN. FOR KILLING THAT WHITE NIGGA??? GUESS BARR HAND A HAND IN THAT TO HUH. THESE NIGGA'S ARE GONNA GET THEIR DAY!!;1;1;Imran
I just hope I get to see him deport your nappy, loser ass.;1;1;Imran
Stupid Asian Bitch You're an idiot and you should go back to ching chong land;1;1;Imran
Soetoro/Obama is moving the country #Forward w/ his vision. His vision is to downsize our 'oppressive' country and get even w/ whitey. #War;0;1;Imran
They always were. The wheat and the teirs are the righteous and the offspring of Ham, Nimrod, Ceasar, pharos, Popes, Hitlers Obamas and Kill-ary Clinton's from the fallen ones, no souls. Noahide laws are NOT Torah their plan is to kill all true believers of Yeshua.  Why should we be surprised they hate us because they are doomed already. They hate Yeshua most we are fodder to them.;1;1;Imran
JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?;1;1;Imran
Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!;1;1;Imran
yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them;1;1;Imran
wow men are fucking trash and disgusting;1;1;Imran
I hope your an anal only slut. No one should have to fuck that pussy;1;1;Imran
do you have autism or something? why do you talk like a disgusting retard?;1;1;Imran
Stupid Asian Bitch You're an idiot and you should go back to ching chong land;1;1;Imran
RT @user: List of bitches who want my dick... http://t.co/RIlGVBoghl;1;1;Imran
